_total	create	finish	memory	needList	roomUpdate	run	tick
6289.9	140	0.3	1115.8	1166.9	27.6	3830.1	17455187
6451.2	191.3	0.3	1080.7	1121.5	27.8	4020.5	17455286
5831.6	104.9	0.3	1086.5	952.8	29	3650.3	17455383
6629.8	146.1	0.3	973.9	1099.7	32.2	4369.7	17455478
6506.2	136.9	0.2	844.1	1000	27.6	4490.1	17455578
6594.1	144	0.3	930.9	1080.3	30.4	4400.7	17455677
6334.6	102.4	0.2	1027.9	1091.9	27.8	4077.1	17455777
6281.8	161.1	0.5	1021	1060.8	28.9	4002	17455877
5756.1	158.9	0.3	971.2	980.1	24.1	3615.3	17455977
6402	90.3	0.3	1064.3	1111.4	27.7	4099.9	17456075
7017.2	136.7	0.3	1038.4	1090.7	32.5	4710.7	17456174
7180.4	265.9	0.3	1112.2	1000.4	28.1	4764.7	17456274
6373	134.6	0.3	950.6	993.6	35.8	4250.5	17456373
7108.5	139	0.3	1118.3	1158.2	35.2	4647.8	17456471
7246.9	207.2	0.3	1043.3	1149.2	36.4	4802.4	17456571
7967.2	179.3	0.3	1124.5	1208.6	36.5	5408.1	17456671
7422.1	144.1	0.3	1038.1	1231	31.1	4968.7	17456768
5343.7	90	0.2	769.8	767.2	24.4	3685	17456868
5330.2	96.7	0.2	800.5	764.8	29.1	3631	17456968
5172.2	119.2	0.2	799.1	767.6	25.9	3452.4	17457068
4592.6	138.7	0.4	661.2	633.7	19.7	3132.9	17457168
4400.6	132.2	0.2	799	612.6	19.7	2830.4	17457268
4096.5	100.5	0.2	674.1	593.2	19.5	2703	17457368
4110.9	93.5	0.2	699.3	647.6	23.1	2641.1	17457468
3913.4	138.1	0.1	580	602.8	17.8	2570.1	17457568
3407.2	77.7	0.1	605.8	561.3	17.3	2140.2	17457668
3602.5	133.1	0.1	594.6	553.3	18.6	2297.9	17457769
3940.4	124	0.2	701	547.1	22.7	2539.1	17457869
3583.2	93	0.2	649.7	526.4	19.6	2288.9	17457969
3754.5	78.1	0.1	709	596.8	20.5	2343.8	17458069
3953.3	95.8	0.1	699.9	612.2	20.7	2519.1	17458169
4588.5	81.5	0.3	724.3	605.4	21.7	3149.8	17458269
4184.5	51.7	0.1	758.6	628.7	22.6	2716.4	17458369
3955.9	85.7	0.1	716.4	593	20.3	2534.5	17458469
4421.6	69.8	0.1	765.2	620.4	20.2	2939.8	17458569
3875	56.5	0.2	697.4	571.2	19.5	2524.3	17458669
3978.6	77.6	0.1	657.7	547.3	18.7	2670.7	17458769
4484.3	109.9	0.1	753.1	610	30.7	2974.5	17458869
4247.5	112.8	0.1	714.4	578.2	19.8	2816.4	17458969
4173.8	85	0.1	680.9	604.1	19.2	2778.3	17459069
4116.3	84.9	0.1	704.2	562	18.8	2740.5	17459169
4644.6	106.9	0.1	696.1	596.1	21.2	3217.7	17459269
4441.4	128.3	0.1	670.8	584.7	17.4	3032.9	17459369
4224	86.1	0.1	714	614.9	17.6	2785.2	17459469
4516	136.6	0.1	668.3	614.4	18.2	3072.8	17459569
4468	82	0.1	677	609.3	18.9	3075.2	17459669
4894.7	87.3	0.1	871.6	615.6	18.9	3295.6	17459769
4927.2	153.5	0.2	769	643.7	20.2	3333.3	17459869
4897.4	119.9	0.2	684	638.5	19.7	3428.6	17459969
4840.1	78.4	0.2	726.3	628.9	19.7	3380.2	17460069
4939.9	83.2	0.1	672.6	617.3	17.8	3543.4	17460169
4453	55.4	0.1	664.9	589.6	19.4	3118.6	17460269
4269.1	67.8	0.2	690.7	604.7	20.2	2878.5	17460369
4208.2	68.5	0.1	576.9	561	18.5	2976.1	17460469
4685.8	64.6	0.1	641.3	616	20.7	3338	17460569
4360.3	75.3	0.2	673.4	604.9	19.5	2981.7	17460669
4125.7	63.1	0.1	667.5	566.2	20.3	2802.7	17460769
4394.3	54.3	0.1	679.6	574.3	19.2	3061.2	17460869
4378.9	98	0.1	732.2	609.4	20.6	2912.4	17460969
4284	99.5	0.1	673	582.7	20.4	2902.2	17461069
4609.5	64.5	0.4	681	590.1	23.7	3244.1	17461169
4540.2	104.7	0.1	700.2	620.6	18.9	3085.4	17461269
4153.7	72.9	0.1	661.8	563.4	18.1	2832.2	17461369
4692.6	144.5	0.1	679.2	566.8	17.9	3279.1	17461469
4572.2	108.7	0.1	755.7	640.3	20	3041.3	17461569
4743.8	115.3	0.2	727.9	652.7	25.9	3215.1	17461668
4974	101.8	0.2	751	740.8	24.1	3349.8	17461768
4580.3	166.3	0.9	700	688.1	24.4	2994	17461868
5225.3	114.1	0.2	737.4	733.5	26.2	3606.9	17461968
4874.1	88.3	0.2	720.2	616.9	20	3422.9	17462068
4631.6	62.6	0.1	699.8	655.6	19.5	3187.8	17462168
5227.8	78.2	0.1	756.5	624	17.9	3744.9	17462268
4674.9	64	0.1	661.3	568.1	17	3359.2	17462368
4705	71.3	0.1	719.3	656.9	21.1	3230.6	17462468
4741.9	90.9	0.1	755.9	671.5	21.9	3196.1	17462568
4893.8	104.8	0.1	722.5	603.8	20.1	3437.5	17462668
4321.6	85.2	0.1	635.9	603.8	18.7	2972.8	17462768
4086	90	0.1	613.9	578.2	18.7	2780.8	17462868
4459.3	97.9	0.1	667.3	618.3	20	3051	17462968
4570	97.6	0.2	603	604.4	20.3	3239.1	17463069
4321.2	95.1	0.1	601.5	605.1	18.6	2996.2	17463169
4036.8	61.4	0.1	612.1	599.5	18.9	2740.4	17463269
4613.4	67.5	0.2	691.9	595.9	17.4	3234.9	17463369
4752.3	101.6	0.2	877.2	628.5	20	3119.2	17463469
4107.1	113.6	0.2	695.8	531.8	20.4	2740.1	17463569
3996.8	69.9	0.2	690.8	564.8	20.1	2645.9	17463669
3787.8	62.6	0.2	686.9	545.5	18.9	2469.1	17463769
3892.6	51.2	0.1	700.8	550.8	18	2565.9	17463869
3814.5	47.3	0.2	700	558.3	23.3	2480.5	17463969
4175.5	74.8	0.1	673.8	555	23	2842.9	17464069
4091.8	102.5	0.2	672.2	552.3	18.9	2740.1	17464169
3868.1	92.6	0.2	680.1	562.9	19.1	2507.8	17464269
4305.9	122.8	0.2	651.7	576.9	20.6	2927.9	17464369
4307.4	129.7	0.2	668.8	593.3	23	2886.7	17464469
3925	119.3	0.2	665.6	595.6	19.8	2518.6	17464569
4275.8	100.7	0.2	648.3	564.7	19.7	2936.6	17464669
4627.2	104.9	0.2	688.8	581.2	17.8	3228.3	17464769
4018.1	130.7	0.2	628.2	603.8	18.6	2630.8	17464869
3995.4	95.1	0.2	562.2	573.8	18.6	2740.3	17464969
4396.3	122.4	0.1	687.8	614.9	18.5	2947.5	17465069
4630.4	85.3	0.1	710.6	630.3	18.9	3179.4	17465169
4314.6	68.9	0.2	785.9	586.8	19.5	2847.5	17465269
4970	145.1	0.2	804.8	610.7	19	3384.5	17465369
4870.3	78.1	0.2	676	620.6	19.7	3470.1	17465469
4457.6	107.7	0.2	691.9	647.7	20	2984.4	17465569
4328	64.6	0.2	653.1	607.9	19.4	2977.3	17465669
4682.1	83.6	0.2	732	668.9	18.9	3173.1	17465770
4250.5	73.2	0.1	620	601.4	16.6	2934.8	17465870
4509.1	75.8	0.1	587.3	578.9	18.8	3243.8	17465970
4644.9	108.4	0.2	625.6	593.5	18	3294	17466070
4961.6	98.6	0.2	706.5	691.2	18.9	3440.5	17466170
4839.2	76.3	0.2	691.9	645.8	22.5	3396.8	17466270
4910.6	95.3	0.2	698.2	628.5	19	3463.4	17466370
4926.9	53.1	0.2	678.1	651.1	20.2	3518.7	17466470
5264.1	76.1	0.2	687	638.1	19.6	3836.8	17466570
5160.2	67.4	0.2	711.2	704	18.9	3653.1	17466670
5011.5	63.5	0.1	676.2	631.8	17.8	3616.9	17466770
6441.9	106.2	0.2	808.9	925.5	27.9	4565.1	17466866
6551.6	139.7	0.2	950.7	975.8	30.7	4446.3	17466962
5972.3	91.3	0.2	810.8	832.7	24.2	4205.8	17467160
6145.9	136.2	0.7	743.8	788.4	25.3	4444.9	17467260
5765	88	0.2	733.5	815.1	24.1	4097.1	17467360
5629.3	90.1	0.2	736.7	732.2	22.4	4041.6	17467460
4991.4	89.6	0.2	668.1	619.8	23.8	3584.6	17467560
4842	74.1	0.1	765.6	683.3	21.9	3291.8	17467660
4963.7	131.1	0.4	778.3	670.7	24.2	3352.5	17467760
4932.2	105.4	0.1	699.6	643.3	21	3457	17467860
4862.3	64.5	0.1	768.6	693.4	21.8	3308.4	17467960
4851.9	83.9	0.2	724.9	661.2	19.6	3356.8	17468060
5044.5	120	0.1	702.5	647.1	18.2	3550.9	17468160
4646.4	79.4	0.2	693.9	649.7	20	3198.1	17468260
4997.9	70.6	0.2	698.5	670.5	20.9	3530.4	17468360
4955	55.1	0.1	755.6	766.3	20.5	3350.6	17468460
4673.9	97.8	0.2	837.3	812	20.7	2900.5	17468560
4893.4	67.3	0.1	666.2	650.1	21	3483	17468660
5011.5	94.9	0.1	682.3	689.7	20.1	3518.6	17468760
4691.9	72.2	0.2	676.7	630.7	19.2	3287.6	17468860
4737	84.9	0.2	682.1	662.9	18.5	3282.7	17468960
5074	99.7	0.2	701.1	638.6	21.2	3607.4	17469060
4768.2	57.7	0.2	715	677	20.3	3292.4	17469160
5190.5	99.4	0.1	822.8	662.6	19.6	3580.3	17469261
5482.6	86.7	0.1	822.1	677.4	21.3	3869.5	17469361
5285.7	104.8	0.1	689.7	653.7	20.1	3811.7	17469461
5322.1	77.2	0.1	753.5	872	20.2	3593.7	17469561
5024.4	82.3	0.2	699.4	712.7	22.7	3502	17469661
4833.7	91.9	0.2	745.6	692.2	25.2	3273.5	17469761
4958.4	62	0.2	726.3	669.5	24.2	3470.9	17469861
5013.6	118	0.2	896.2	656	19.4	3317.4	17469961
4446.9	106.6	0.1	653.9	606.1	19.1	3055.8	17470061
4636	120.1	0.2	711	614.8	19	3165.1	17470161
4406.7	92.2	0.2	705.3	613.8	19.9	2969	17470261
4620.6	77.6	0.1	720.7	632	21.6	3162.8	17470361
4571.7	60.9	0.1	659	635.8	18.8	3191.7	17470461
4584.4	79.4	0.2	666.9	618.5	20.3	3193.3	17470561
4610.7	105.2	0.2	695.1	606.9	20.2	3177.8	17470661
4962.1	67.3	0.2	801.4	617.7	17.9	3451.8	17470761
4437.7	71.4	0.1	625.5	623.7	17.9	3094.1	17470861
4909.9	101.3	0.1	689.5	632.1	18.8	3463	17470961
5132.2	54.7	0.1	805.9	636	19.2	3611.3	17471061
4916.4	62.1	0.1	787.3	654.7	18.2	3389	17471161
4882.7	88.1	0.1	694.9	657.6	20.2	3417	17471261
5189.1	98.2	0.4	695	658.3	18.7	3713.5	17471361
4591.4	72.5	0.1	637.8	608.9	17.6	3250	17471461
5084.5	91	0.1	678.2	637.8	21.2	3651.1	17471561
5123.7	70.3	0.2	684.8	622.5	20.1	3721.3	17471661
4664	66.2	0.1	736.1	626.8	17.9	3212.3	17471761
4642.9	79.4	0.1	665.8	596.3	18.4	3278.2	17471862
4670.1	78.4	0.1	623.6	650.5	18.7	3294	17471962
4764.2	109.9	0.1	680.9	659.1	18.1	3291.5	17472062
6903	164.9	0.3	1025.1	1046.4	27.8	4629.6	17472155
5612	127.4	0.2	787.7	842.6	23.4	3824.1	17472255
5510.6	153.5	0.2	728.2	773.4	24.3	3824	17472355
6558	175.2	0.2	967.5	946.7	30.6	4428.8	17472448
5858.8	165.8	0.2	843.1	823.2	23.6	3995	17472539
5629.2	132.6	0.2	859.4	816.8	24.8	3787.7	17472639
5054.7	96	0.3	711.4	744.7	22.7	3473.2	17472739
5476.8	150.9	0.2	732.7	726.5	22.4	3837.7	17472839
5023.9	86.1	0.1	723.8	675.2	20	3513.7	17472935
5510.6	239.2	0.2	814	752.8	24.5	3672.2	17473031
5406.1	131.6	0.2	841.9	712.8	24.3	3687.5	17473131
5858.7	101.3	0.2	751.9	797.1	25	4176.2	17473231
4922.8	74.3	0.1	633.1	703.3	20.4	3486.1	17473331
5135	75.7	0.1	593.5	651.2	17.8	3791.6	17473430
4506.2	70.3	0.1	558	627.7	20.4	3224	17473528
4577.8	72.1	0.2	647.6	652	25.7	3174.8	17473628
4464.5	111.5	0.2	556.5	622	20.4	3148.7	17473728
5033.4	108.1	0.2	784.9	635.6	20.7	3477.2	17473828
4540.2	71.5	0.2	674.7	615.8	19.9	3152.1	17473928
4739.9	72.3	0.2	782.6	644.3	20.9	3213.1	17474028
4751.3	50.6	0.2	687.5	751.9	19.9	3234.3	17474128
4822.6	36.9	0.2	719.6	664.3	19.6	3375.4	17474228
4889.3	65.7	0.2	718.3	670.5	20	3408.3	17474327
4506.8	124.9	0.2	663.3	625.5	18.7	3067.4	17474427
4839.4	120.6	0.2	703.5	638.5	17.4	3353.1	17474527
4841.2	116.5	0.2	634.3	655.6	18.6	3408.4	17474627
5263.4	81.4	0.2	779.5	766.4	26.4	3602.9	17474721
5458.7	78.6	0.2	792.4	772.9	23.5	3784.4	17474821
5532.5	91.2	0.2	744.9	810	22.8	3843.2	17474921
5073	60	0.2	660.6	699.9	18.8	3627.6	17475021
5054.3	117.2	0.1	603.5	678.7	19.4	3630.4	17475121
5282.2	87.8	0.1	648.2	644.2	17.7	3879.9	17475221
4928.6	79.3	0.1	676.1	692.3	18.2	3457.7	17475321
5196.6	79.1	0.1	651.6	671.8	17.1	3772.7	17475420
5495.8	44.5	0.1	722.3	803.7	16	3904.7	17475520
5208.9	85	0.1	658.1	628.9	19.1	3812.7	17475619
5959.2	82.9	0.1	652.4	708.7	17.2	4493.5	17475719
